Ticker,expected_return
AAPL,0.0018664204283216745
ABBV,0.0008534597060370092
AMZN,0.0012590226166304384
BAC,0.0008127807188645714
CAT,0.004017677471213257
CVX,0.001388801800515972
GE,0.0012930754388509591
GOOGL,0.0034400774112908466
GS,0.0023721205706553703
HON,0.0006344244208893243
JNJ,0.0016475558794983684
JPM,0.0006630742229999487
LLY,0.0018879110785566164
MA,-0.0005344614750696627
MRK,0.002064713276101854
MSFT,4.9576662316319675e-05
NVDA,0.0019516086711829968
PFE,0.000823858729179208
V,-0.0003250204253549644
XOM,0.0016240847550720449
